OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
11,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,31,3.679,1.382,1.328,1.933,3.242
8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,3.688,1.387,0.761,0.999,1.018
10,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,3.697,1.387,1.601,2.404,2.430
4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.707,1.387,1.285,1.926,1.936
11,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,21,25,23,0,3.697,1.387,1.645,2.301,2.365
8,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,3.698,1.387,1.083,1.569,1.899
11,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,3.707,1.387,1.104,1.774,2.131
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.706,1.382,0.723,0.896,0.898
11,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3.706,1.388,1.188,1.701,1.728
11,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,23,21,0,0,3.688,1.388,1.390,1.861,1.883
9,2,6,0,0,2,1,0,0,0,0,0,0,0,0,0,20,0,31,0,3.689,1.387,1.807,3.136,3.583
7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3.689,1.387,0.838,1.145,1.154
5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,31,3.692,1.388,0.919,1.589,2.890
11,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,29,0,3.683,1.387,1.216,1.639,1.697
13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.692,1.382,1.099,1.372,1.401
11,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,3.663,1.387,1.271,1.618,1.629
11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,3.654,1.387,1.472,1.775,1.782
11,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,3.654,1.387,1.213,2.040,2.399
7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.667,1.388,0.891,1.052,1.054
14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.656,1.387,1.612,1.751,1.751
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.659,1.388,0.766,0.806,0.806
11,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,20,25,27,0,3.661,1.383,1.396,1.935,1.998
11,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,3.685,1.387,1.457,1.993,2.011
10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.695,1.387,1.124,1.371,1.374
9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,3.701,1.387,0.950,1.211,1.230
14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.730,1.387,1.727,1.964,1.966
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.738,1.387,0.965,1.108,1.109
7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,18,23,33,0,3.755,1.387,1.051,1.488,1.547
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.740,1.382,0.872,0.933,0.933
4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3.740,1.388,0.370,0.553,0.562
10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,3.697,1.388,1.289,1.645,1.654
11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,3.679,1.387,1.219,1.476,1.483
7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3.679,1.387,1.136,1.650,1.661
8,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,21,21,25,0,3.667,1.388,1.391,1.883,1.945
14,6,1,1,2,0,1,0,0,0,0,0,0,0,0,0,22,21,0,0,3.637,1.387,2.001,2.890,3.259
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.637,1.382,0.894,1.032,1.047
12,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,27,0,0,3.641,1.388,1.575,1.994,2.016
7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3.641,1.387,0.999,1.414,1.424
8,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,18,25,0,0,3.654,1.388,0.917,1.292,1.325
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.664,1.387,1.271,1.424,1.426
6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3.664,1.387,0.716,1.098,1.114
10,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,18,24,0,0,3.683,1.388,1.488,2.067,2.095
5,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,20,19,0,37,3.684,1.387,1.210,2.044,3.366
14,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,24,0,0,29,3.650,1.382,1.691,2.946,4.930
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3.650,1.387,0.764,0.873,0.878
6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.653,1.388,0.972,1.266,1.283
10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3.653,1.387,1.061,1.378,1.386
11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,3.668,1.388,1.055,1.450,12.536
15,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,3.666,1.387,1.368,1.699,48.892
11,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,19,25,0,0,3.669,1.387,1.128,1.724,12.830
9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.673,1.383,0.941,1.197,1.213
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.682,1.387,0.477,0.508,0.509
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.686,1.388,0.618,0.654,0.654
12,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,3.683,1.388,1.316,1.655,1.663
9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.672,1.387,1.208,1.588,1.606
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.675,1.387,0.834,0.876,0.876
8,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,3.700,1.388,1.678,2.317,6.588
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.703,1.383,0.759,0.799,0.799
